"","source_id","source_url","source_title","eissn","issn_print","is_diamond","jjps_status","country"
"1",1537,"https://www.ajol.info/index.php/mjpps","Mediterranean Journal of Pharmacy and Pharmaceutical Sciences","2789-1895","2958-3101",1,"New Title","Libya"
"2",1001,"https://www.ajol.info/index.php/abraka","Abraka Humanities Review","2795-3726","0795-1639",1,"1 Star","Nigeria"
"3",1210,"https://www.ajol.info/index.php/abuadjerd","ABUAD Journal of Engineering Research and Development","2645-2685","2756-6811",1,"2 Stars","Nigeria"
"4",1002,"https://www.ajol.info/index.php/ajec","Abyssinia Journal of Engineering and Computing","2788-6247","2788-6239",1,"1 Star","Ethiopia"
"5",1211,"https://www.ajol.info/index.php/abjst","Abyssinia Journal of Science and Technology","2616-4728","2616-471X",1,"2 Stars","Ethiopia"
"6",1559,"https://www.ajol.info/index.php/ajse","Academy Journal of Science and Engineering","2734-3898","0795-2384",1,"No Stars","Nigeria"
"7",1212,"https://www.ajol.info/index.php/actas","Acta Structilia","2415-0487","1023-0564",1,"2 Stars","South Africa"
"8",1213,"https://www.ajol.info/index.php/actat","Acta Theologica","2309-9089","1015-8758",1,"2 Stars","South Africa"
"9",1214,"https://www.ajol.info/index.php/arebusj","Advanced Research In Economics and Business Strategy Journal","2773-3807","2716-9421",1,"2 Stars","Algeria"
"10",1215,"https://www.ajol.info/index.php/ace","Advances in Computing and Engineering","2735-5985","2735-5977",1,"2 Stars","Egypt, Arab Rep."
"11",1216,"https://www.ajol.info/index.php/ampdr","Advances in Medical, Pharmaceutical and Dental Research","2812-4898","2812-488X",1,"2 Stars","Egypt, Arab Rep."
"12",1560,"https://www.ajol.info/index.php/ad","Africa Development","0850-3907",NA,1,"No Stars","Senegal"
"13",1562,"https://www.ajol.info/index.php/asan","Africa Sanguine",NA,"1560-8646",1,"No Stars","South Africa"
"14",1563,"https://www.ajol.info/index.php/aa","African Anthropologist","1024-0969",NA,1,"No Stars","Cameroon"
"15",1003,"https://www.ajol.info/index.php/acsj","African Crop Science Journal","2072-6589","1021-9730",1,"1 Star","Uganda"
"16",1217,"https://www.ajol.info/index.php/ahs","African Health Sciences","1729-0503","1680-6905",1,"2 Stars","Uganda"
"17",1538,"https://www.ajol.info/index.php/ahmr","African Human Mobility Review","2410-7972","2411-6955",1,"New Title","South Africa"
"18",1220,"https://www.ajol.info/index.php/ajada","African Journal of Alcohol and Drug Abuse","2664-0066","2664-0058",1,"2 Stars","Kenya"
"19",1221,"https://www.ajol.info/index.php/ajapres","African Journal of Applied Research","2408-7920",NA,1,"2 Stars","Ghana"
"20",1353,"https://www.ajol.info/index.php/ajazeb","African Journal of Applied Zoology and Environmental Biology","1119-023X",NA,1,"Inactive Title","Nigeria"
"21",1567,"https://www.ajol.info/index.php/ajb","African Journal of Biotechnology","1684-5315",NA,1,"No Stars","Kenya"
"22",1568,"https://www.ajol.info/index.php/ajce","African Journal of Chemical Education","2227-5835",NA,1,"No Stars","Ethiopia"
"23",1222,"https://www.ajol.info/index.php/ajcem","African Journal of Clinical and Experimental Microbiology","1595-689X",NA,1,"2 Stars","Nigeria"
"24",1007,"https://www.ajol.info/index.php/ajer","African Journal of Economic Review","2453-5966","1821-8148",1,"1 Star","Tanzania"
"25",1008,"https://www.ajol.info/index.php/ajedscitech","African Journal of Education, Science and Technology",NA,"2309-9240",1,"1 Star","Kenya"
"26",1700,"https://www.ajol.info/index.php/ajesms","African Journal of Educational Studies in Mathematics and Sciences","2508-1128","0855-501X",1,"Pending","Ghana"
"27",1010,"https://www.ajol.info/index.php/ajempr","African Journal of Empirical Research","2709-2607",NA,1,"1 Star","Kenya"
"28",1223,"https://www.ajol.info/index.php/ajfand","African Journal of Food, Agriculture, Nutrition and Development","1684-5374","1684-5358",1,"2 Stars","Kenya"
"29",1012,"https://www.ajol.info/index.php/ajgh","African Journal of Gastroenterology and Hepatology","2735-5497","2735-5489",1,"1 Star","Egypt, Arab Rep."
"30",1570,"https://www.ajol.info/index.php/ajhe","African Journal of Health Economics",NA,"2006-4802",1,"No Stars","Nigeria"
"31",1224,"https://www.ajol.info/index.php/ajhpe","African Journal of Health Professions Education",NA,NA,1,"2 Stars","South Africa"
"32",1571,"https://www.ajol.info/index.php/ajhs","African Journal of Health Sciences","1022-9272",NA,1,"No Stars","Kenya"
"33",1013,"https://www.ajol.info/index.php/ajid","African Journal of Infectious Diseases","2006-0165",NA,1,"1 Star","Nigeria"
"34",1360,"https://www.ajol.info/index.php/ajia","African Journal of International Affairs","0850-7902",NA,1,"Inactive Title","Senegal"
"35",1014,"https://www.ajol.info/index.php/ajlhts","African Journal of Laboratory Haematology and Transfusion Science","2814-0605","2814-0591",1,"1 Star","Nigeria"
"36",1225,"https://www.ajol.info/index.php/ajmr","African Journal of Management Research","2458-7435","2343-6689",1,"2 Stars","Ghana"
"37",1573,"https://www.ajol.info/index.php/ajns","African Journal of Neurological Sciences","1015-8618","1992-2647",1,"No Stars","Côte d'Ivoire"
"38",1701,"https://www.ajol.info/index.php/ajoh","African Journal of Oral Health","0189-5710",NA,1,"Pending","Nigeria"
"39",1574,"https://www.ajol.info/index.php/ajprs","African Journal of Physiotherapy and Rehabilitation Sciences","2141-8322",NA,1,"No Stars","Nigeria"
"40",1576,"https://www.ajol.info/index.php/ajpas","African Journal of Politics and Administrative Studies","2787-0359","2787-0367",1,"No Stars","Nigeria"
